ip,expected_state_name,service_state_name,note
103.109.222.99,Arunachal Pradesh,Tripura,
223.239.74.177,Arunachal Pradesh,Meghalaya,
103.19.152.30,Uttar Pradesh,,
1.39.85.251,Kerala,Rajasthan,
61.1.186.100,Tamil Nadu,Kerala,
117.96.52.255,Assam,Meghalaya,
61.2.35.255,Tamil Nadu,Union Territory of Puducherry,
14.141.161.244,Tamil Nadu,Haryana,
167.103.54.125,Tamil Nadu,Tripura,
103.113.38.84,Uttarakhand,,
106.192.102.23,Jharkhand,Bihar,
61.2.20.167,Tamil Nadu,Union Territory of Puducherry,
117.252.22.63,Bihar,Andaman and Nicobar,
103.109.222.148,Arunachal Pradesh,Tripura,
103.109.222.125,Arunachal Pradesh,Tripura,
182.74.181.12,National Capital Territory of Delhi,Karnataka,
103.59.96.234,Telangana,,
103.178.159.139,Tamil Nadu,,
103.153.227.226,Haryana,Rajasthan,
117.233.112.195,Maharashtra,Chhattisgarh,
202.164.62.58,Haryana,Punjab,
117.209.223.26,Manipur,Nagaland,
157.42.118.68,Maharashtra,Assam,
122.180.199.223,Madhya Pradesh,Bihar,
103.246.213.119,Gujarat,,
117.194.233.154,Bihar,Sikkim,
27.56.120.82,Meghalaya,Tripura,
117.197.144.88,Jharkhand,West Bengal,
27.56.25.40,Tripura,Meghalaya,
139.5.252.200,National Capital Territory of Delhi,Uttar Pradesh,
162.216.140.34,Tamil Nadu,Union Territory of Puducherry,
117.219.157.200,Punjab,Himachal Pradesh,
117.212.151.59,Maharashtra,Madhya Pradesh,
223.239.96.121,Meghalaya,Arunachal Pradesh,
43.252.61.177,Gujarat,,
115.96.193.45,Telangana,Sikkim,
182.72.152.168,Karnataka,Tamil Nadu,
115.244.148.211,Gujarat,Maharashtra,
43.251.212.101,West Bengal,Bihar,
117.222.215.252,Gujarat,Dadra and Nagar Haveli and Daman and Diu,
203.134.205.130,Punjab,Chandigarh,
117.252.23.136,Bihar,Andaman and Nicobar,
14.143.129.235,Tamil Nadu,National Capital Territory of Delhi,
210.87.106.239,North West,,
122.185.77.210,Telangana,Haryana,
117.232.135.18,Uttar Pradesh,Kerala,
142.4.160.163,Delhi,National Capital Territory of Delhi,synonym
103.109.220.126,Arunachal Pradesh,Tripura,
117.204.103.23,Chhattisgarh,Dadra and Nagar Haveli and Daman and Diu,
14.195.179.105,Tamil Nadu,Haryana,
203.134.218.19,Punjab,Chandigarh,
103.107.150.89,Maharashtra,,
152.59.86.35,Uttar Pradesh,Chandigarh,
122.187.50.154,National Capital Territory of Delhi,Haryana,
106.214.10.242,Bihar,Uttar Pradesh,
157.42.118.77,Maharashtra,Assam,
203.200.56.165,Karnataka,Telangana,
117.222.215.78,Gujarat,Dadra and Nagar Haveli and Daman and Diu,
223.231.113.164,Mizoram,Nagaland,
223.233.15.157,West Bengal,Sikkim,
117.99.214.17,Mizoram,Arunachal Pradesh,
